dataset,num,time
blob,0,4.229836702346802
blob,1,5.59121036529541
blob,2,3.337106943130493
blob,3,8.128818988800049
blob,4,3.3572700023651123
blob,5,4.740249156951904
blob,6,2.1877846717834473
blob,7,7.4545066356658936
blob,8,2.1150388717651367
blob,9,3.2167553901672363
blob,10,2.568251371383667
blob,11,4.0945961475372314
blob,12,7.181891441345215
blob,13,5.255072593688965
blob,14,5.887592315673828
blob,15,3.6017680168151855
blob,16,3.389406442642212
blob,17,7.170324802398682
blob,18,4.424481391906738
blob,19,3.2808191776275635
blob,20,6.479864597320557
blob,21,4.22645902633667
blob,22,7.61972975730896
blob,23,4.308221340179443
blob,24,3.119485855102539
blob,25,3.2493491172790527
blob,26,4.290919542312622
blob,27,3.1473686695098877
blob,28,3.124497652053833
blob,29,3.8662173748016357
blob,30,4.9265875816345215
blob,31,5.040098428726196
blob,32,4.3385350704193115
blob,33,5.520021438598633
blob,34,4.844305515289307
blob,35,3.111222505569458
blob,36,3.1315929889678955
blob,37,5.507193565368652
blob,38,5.434654474258423
